Dish Name,Description,Spice,Prep Time,Views,Rating,Number of Votes,Serves,Dietary Info,Cook Time,Ingredients,Instructions
Kale and Chickpea Curry,Sholay Saag,medium,Prep 5 mins,221740,3.6,248,4,['VEGETARIAN'], 25 mins,"1) 1-2 tbsp rapeseed oil
2) ½ tsp mustard seeds
3) 1 tsp cumin seeds
4) 1 large onion, diced
5) 4 garlic cloves, crushed
6) 4 plum tomatoes or 200g tinned tomatoes
7) 800g/2 tins of chickpeas, drained and rinsed
8) 1 tsp salt, or to taste
9) 1 heaped tsp coriander seeds, crushed
10) 1 green chilli, chopped
11) 1 tsp red chilli powder
12) 1 tsp turmeric
13) 200g kale, chopped
14) 1 green chilli, sliced for garnish
","1) Heat the oil in a lidded pan over a medium heat and when it's hot add the mustard seeds and then the cumin seeds.
2) Stir for a minute until you can smell the aroma of the cumin seeds and the mustard seeds stop sizzling, then add the diced onions.
3) Fry the onions for 15 minutes until they start to brown, then add the garlic. Fry together for 4 minutes before adding the tomatoes, stir and leave to cook for a few minutes. Add a little water if required.
4) Add the crushed coriander, green chilli, chilli powder, turmeric and salt and leave to cook on a gentle heat until the tomatoes start to break down and create a thick masala sauce (about 10 minutes).
5) Turn the heat up to thicken the sauce a little if required.
6) Add the chickpeas and stir to coat them with the masala. Add a splash of water and let them simmer for 5 minutes.
7) Add the chopped kale, a handful at a time, stirring in between. Leave this to cook for 5 minutes until kale is soft and tender. Top with the sliced chilli and serve with poori with some fresh plain yoghurt.
"
Kasundi Halibut with Cumin Kale Crisps,Halibut with mustard and mango sauce and kale crisps,medium,Prep 10 mins,16307,4.8,8,4,['LACTOSE-FREE'], 10 mins,"1) 4 pieces of chunky halibut or white fish
2) Juice from 1 lemon
3) 1 tbsp mustard paste
4) 1 garlic clove, crushed
5) 1 tsp cumin seeds, crushed
6) ½ tsp salt
7) ½ tsp turmeric
8) ¼ tsp chilli powder
9) 1 tbsp rapeseed oil
","1) Combine all the ingredients except the halibut in a wide bowl so they are mixed together to form a yellow mixture
2) Coat the pieces of fish with the mixture and leave to marinade for as long as possible
3) To cook the fish, heat a drizzle of rapeseed oil in a non-stick frying pan. Once smoking, place fish in the pan reduce the heat and cook for 4-5 minutes. Turn it over and cook for a further 4 minutes until cooked through.
"
Kati Egg Roll with Basmati & Quinoa,Spiced rice tucked into a kati egg roll,mild,Prep 35 mins,7405,5.0,3,4,['HEALTHY'], 10 mins,"1) 100g Brown Basmati rice (or use left over rice)
2) 20g Quinoa
3) 1 tbsp Rapeseed oil
4) 1 tsp cumin seeds
5) 1 onion, sliced
6) 1 clove of garlic, chopped
7) 4 mushrooms, chopped
8) ½ tsp salt
9) 1 fresh green chilli, chopped
10) 2 tomatoes, chopped
11) Handful of spinach
12) Large pinch of coriander
13) 1 tsp garam masala
14) 2 tsp chaat masala
15) 100g grated paneer
","1) Wash the quinoa and rice then add to a pan of boiling water simmer gently for 25 minutes.
2) Drain well and cover for a few minutes.
3) Heat oil in a pan and add the cumin seeds until the sizzle. Stir in the sliced onion and cook for 2-3 minutes until translucent then add the garlic and cook for 3-4 minutes.
4) Add the chopped mushrooms and cook for a few minutes with salt and chilli.
5) Add the tomatoes and cook to a paste before adding the spinach.
6) Stir in the cooked rice and add 1 tsp of garam masala, the chopped coriander and the paneer. Check the seasoning and set to one side.
7) Heat a non-stick frying pan and add the oil.
8) Whisk the eggs in a wide bowl and add garam masala, chilli powder and salt.
9) Dip in one tortiila wrap and place into the frying pan on a gentle heat and cook until crisp.
10) Gently place the wrap onto a plate and fill with the cooked rice and roll it up. Serve with pickle and yoghurt.
"
Kedgeree,Spice rice with smoked fish,mild,Prep 10 mins,70038,3.9,45,4,['LOW-CALORIES'], 20 mins,"1) 2 large free-range eggs
2) 700g smoked haddock fillets, boned
3) 2 fresh bay leaves
4) 170g basmati rice
5) salt to taste
6) ½ tbsp ghee
7) 3cm piece fresh ginger, grated
8) 1 bunch of spring onions, finely chopped
9) 1 clove garlic, peeled and finely chopped
10) 1 tsp cumin seeds, crushed
11) ½ tsp turmeric
12) 2 tsp mustard seeds
13) 2 tomatoes, finely chopped
14) juice of 2 lemons
15) 2 good handfuls fresh coriander, chopped
16) 1 fresh red chilli, finely chopped
","1) Boil the eggs for 10 minutes, then hold under cold running water.
2) Put the fish and bay leaves in a shallow pan with enough water to cover. Bring to the boil, cover and simmer for about 5 minutes, until cooked through. Remove from the pan and leave to cool. Remove the skin from fish, flake into chunks and set aside.
3) Cook the rice in water for about 10 minutes and drain. Fork through and leave to cool leave in the fridge until needed.
4) Melt the ghee in a pan over a low heat and add the mustard and cumin seeds.
5) Stir in the ginger, onion and garlic. Soften for about 5 minutes, and add the turmeric, salt and chilli. Cook for a further few minutes, then add the chopped tomatoes and lemon juice.
6) Stir in the cooked rice and heat through then add the fish. Once piping hot remove from the heat and add the fresh coriander.
7) Slice the eggs into quarters and place on top of the rice to serve.
"
Keema Burrito,Keema Roti Roll,medium,Prep 10 mins,26421,4.0,15,4,['HEALTHY'], 20 mins,"1) 250g Roti flour
2) ½ tsp salt
3) 2 tsp Rapeseed oil
4) water
","1) In a bowl or stand mixer, mix flour, salt and oil together. Knead to a soft dough.
2) Cover the dough with a damp cloth and leave to rest for 20 minutes.
3) When you are ready to cook, heat your tava or frying pan to a medium heat.
4) Roll out the roti and place on the pan to cook. Once it changes colour a little, turn and cook the other side. Place in a tea towel to keep warm.
"
Kukul Mass,Sri Lankan Chicken Curry,hot,Prep 10 mins,15626,3.7,13,4,['LACTOSE-FREE'], 50 mins,"1) 8-10 chicken pieces (thighs and drumsticks - skin on)
","1) In a pan toast the cumin, coriander, fennel and black peppercorns. If you don’t like using whole spices you can also add the cardamom, cloves, and cassia at this stage rather then in step 4.
2) Grind everything in a spice grinder to a powder. Add turmeric and paprika to the ground spices and mix well to combine.
3) Sprinkle the spice mix over the chicken and set to one side.
4) Heat the coconut oil in a wide pan and add the cardamom pods, cloves, dried red chillies, cassia bark or just the curry leaves if you added the whole spices in step 1. Fry for a minute then add the diced onion and cook until golden.
5) Stir in the garlic, ginger and chopped chillies - cook for a few minutes. Let it catch a little on the bottom and then if you are using tomatoes you can add them now. Stir to break them down (I prefer this recipe without tomatoes).
6) Add the chicken to the pan and coated with the onions then sprinkle in 1 tsp salt and kewra water (if using).
7) Add the coconut milk, the bruised lemongrass, cover and cook on a low heat for 40–50 minutes.
8) Toast the coconut shavings until golden and sprinkle over the curry to serve.
"
Lamb Jalfrezi,Lamb with Peppers,hot,Prep 20 mins,186763,3.3,159,4,['LACTOSE-FREE'], 40 mins,"1) 400-600g lamb shoulder, trimmed and chopped
","1) Heat oil in a pan, add the cumin seeds, chilli and garlic and fry until lightly browned.
2) Add the chopped tomatoes, salt and turmeric then cook so the tomatoes break down to make a lovely thick gravy.
3) Add the lamb and stir to coat the pieces. Reduce the heat and place the lid on the pan and leave to cook for 30-40 minutes on a low heat until it's soft and tender.
4) In a separate pan heat some oil and add the cumin seeds, once fragrant stir in the chunky onions and peppers, tomato and the chilli then stir fry. You can cook these as much or as little as you like. I prefer mine with a bit of a crunch.
5) Stir in the garam masala for added body and depth.
6) Once the lamb is cooked and the sauce has reduced stir in the garam masala fried vegetable mix.
"
Lemon Masala Chicken,Lemon Chicken Curry,medium,Prep 10 mins,22441,3.1,47,4,['LACTOSE-FREE'], 30 mins,"1) 8 pieces of chicken on the bone, skinned or thigh fillets
","1) Put the chicken into a large bowl and sprinkle with the chilli powder, turmeric, garam masala, ground coriander, black pepper, salt, lemon juice and stir to coat. Leave for 10 minutes.
2) Heat 1 tbsp oil and add cumin seeds until they sizzle.
3) Add the sliced onion and stir through until they start to colour and turn golden.
4) Add the garlic and then stir in the ginger and all the chillies.
5) Add the curry leaves then add the chicken pieces and coat with the mixture on a high heat to seal the meat.
6) Reduce the heat to low add the two slices of lemon and place the lid on the pan. Leave to cook for about 20-40 minutes (depending on the meat you use).
7) Stir every now and again until it’s cooked through and the chicken is coming away from the bone.
8) Remove from the heat and squeeze in the lemon, sprinkle with coriander and serve.
"
Lemon Rice,Nimbu Chaul,medium,Prep 30 mins,104745,4.3,40,4,['VEGETARIAN'], 10 mins,"1) 4 tbsp vegetable oil or 2tbsp coconut oil
2) 1 tsp mustard seeds
3) 7-10 curry leaves
4) 3 green chillies
5) 1 tsp salt
6) ½ tsp turmeric
7) 2 tbsp peanuts or cashew nuts
8) 2 lemons
9) 200g Basmati rice
","1) Wash the rice until the water runs clear.
2) In a wide based pan add the washed rice, pour in 500ml of water (twice the amount of water to rice). Bring the water to a rolling boil, reduce the heat to the lowest setting and place the lid on the pan. Leave to cook for 12 minutes.
3) Remove from the heat, very gently fork through it and leave to cool.
4) In a separate pan heat the oil and add the mustard seeds. As they begin to splutter add the peanuts or cashews and fry to a golden brown colour. Add the turmeric powder, the curry leaves, green chillies and salt - fry for a minute.
5) Remove from the heat and stir into the rice.
6) Squeeze in the juice from the lemon and mix through carefully until all the rice is beautifully bright yellow.
"
Maacher Jhol,Bengali Fish Curry,medium,Prep 5 mins,54701,4.0,20,4,['LACTOSE-FREE'], 30 mins,"1) 4 large fish steaks (Kingfish, Salmon, Halibut)
2) 1 tsp turmeric powder
3) ½ tsp salt
4) 3 tbsps mustard oil
5) 10 minature potatoes
6) 1 large bay leaf
7) 5 green cardamom pods, bruised
8) 1 tsp cumin seeds
9) 1 tsp mustard seeds
10) 1 large onion
11) 5 cm ginger, crushed
12) 3 garlic cloves, crushed
13) 1 fresh chilli, finely chopped
14) 2 tomatoes, finely chopped
15) ½ tsp turmeric powder
16) 1 tsp coriander seeds, crushed
17) 2 tbsps Greek yogurt
18) 2 green chillies, sliced lengthways
19) handful of fresh, green coriander, finely chopped
","1) Wash the fish and pat dry with some kitchen paper. Place onto a dish and sprinkle with turmeric powder and salt. Rub this into the fish and set aside for 30 minutes.
2) In the meantime blitz the onion to get a paste.
3) When the fish has marinated, heat the mustard oil in a pan and fry the pieces of fish until each one is golden on both sides. Be gentle with the fish while it cooks then set to one side.
4) Use the same oil or add more if required and fry the potatoes until they are golden. Drain on kitchen towel and set to one side.
5) If needed add a little more oil and heat on medium heat. Add the bay leaf, cardamom pods and cumin seeds.
6) Once fragrant add the onion paste with the crushed ginger and garlic and fry for about 10 minutes.
7) Just as they turn golden in colour add the tomatoes, turmeric powder, crushed coriander seeds and chopped chillies.
8) Stir until fragrant then spoon in the yogurt and mix well.
9) Fry this for about 10 -15 minutes until it becomes shiny the add 1 or 2 cups of hot water.
10) Stir in the fried potatoes and bring the sauce to a boil. Reduce the heat and leave the potatoes simmering to cook through.
11) Once they are soft and cooked through add the fried pieces of fish and stir gently.
12) Cook for a few minutes then remove from the heat and sprinkle with the chopped coriander leaves and sliced chillies to garnish. Serve immediately with some plain rice
"
Mackerel Fry,Masala Fried Mackerel,medium,Prep 5 mins,84817,4.0,17,2,['LACTOSE-FREE'], 10 mins,"1) 5 black peppercorns
2) 1 tsp chilli powder
3) 1 tsp cumin seeds
4) 1 tsp coriander seeds
5) ½ tsp turmeric
6) salt to taste
7) 1 lemon
8) 3cm piece ginger, crushed
9) 2 cloves garlic, crushed
10) 2 whole mackeral
11) 1 tsbp vegetable oil
","1) In a pestle and mortar crush the pepper, cumin, and coriander seeds and place into a bowl
2) Then crush the ginger and garlic and add to the bowl as well.
3) Mix in the chilli, turmeric, salt and juice from the lemon to make a paste.
4) Put slits down the sides of the fish and smear the paste over the fish
5) Cook the fish in a frying pan on a gentle heat for about 4-5 mins on each side
6) Pour the oil over the fish at the end and it will crisp up and serve with a radish salad
"
Mango Kachumber,Mango Salsa,medium,Prep 10 mins,47890,4.4,16,4,['VEGETARIAN'],,"1) 1 red onion, very finely diced
2) Handful fresh coriander leaves, chopped
3) ½ red chilli, finely chopped
4) Juice of one lime
5) 1 large ripe mango, pitted and cubed
6) ½ tsp kalongi seeds
","1) Finely dice the onion, mango.
2) Chop the coriander and chilli.
3) Combine the onion, coriander and chilli in a bowl
4) Add the lime juice, mango cubes and kalongi seeds.
5) Leave to stand for 10 minutes and stir before serving.
"
Mango Lassi,Frozen Mango Yoghurt Drink,none,Prep 10 mins,46882,4.6,12,4,['LOW-CALORIES'],,"1) 1 mango, peeled, stoned and chopped
2) 4 tbsp Greek yoghurt
3) Splash of cold milk
4) 3 tsp of sugar (or to taste)
5) 1 handful of ice cubes
6) Sprinkle of cardamom powder
","1) Put the yoghurt, milk, mango, sugar, ice into a blender and blitz until smooth.
2) Pour the mixture into a tumbler and sprinkle with some cardamom powder.
"
Marrow Curry,40 mins,medium,Prep 10 mins,596269,3.2,1266,4,['VEGETARIAN'], 30 mins,"1) 1 tbsp rapeseed oil
2) 1 tsp cumin seeds
3) 1 tsp mustard seeds
4) 1 large onion, peeled and chopped
5) 2-3 garlic cloves, peeled
6) 200g tin plum tomatoes
7) 1 tbsp of fresh ginger, grated
8) 1-2 green chillies, chopped
9) ½ tsp turmeric
10) ½ tsp chilli powder
11) 1 tsp salt
12) 1 large marrow (approx 1-1.5kg)
13) 1 tsp garam masala
14) handful fresh coriander
","1) Heat oil and add the cumin and mustard seeds. Once they sizzle and become fragrant add the onions. Fry for about 6-7 minutes until they become translucent and just golden brown.
2) Add the garlic and cook on a gentle heat for a few minutes. In the meantime, wash and chop the marrow into 3-4cm chunks. If your marrow is an older marrow then you may also need to peel it as the skin can be tough. You may also need to remove the seeds and soft central part of the marrow.
3) Add the tomatoes to the pan and stir in the grated ginger, chilli powder, turmeric, salt, and green chilli. Stir for a few minutes until the masala in thick and shiny.
4) Add the chopped marrow and bring the pan to a simmer. Cover, then turn the heat to low and cook for about 20-30 minutes. Do check and stir occasionally.
5) When the marrow has cooked to the texture you like, remove from the heat and add the garam masala and coriander to serve.
"
Masala Dosa,Crisp Lentil Pancakes,medium,Prep 2 days,27530,4.6,12,6,['VEGETARIAN'], 10 mins,"1) 190g rice
2) 105g white lentils (split urid with skin removed)
3) 20g split chana lentils
4) 1 tsp fenugreek seeds
5) 1 tbsp oil
6) 1 tsp salt
","1) Wash and soak the lentils, rice & fenugreek seeds in enough cold water to cover the mixture by about an inch.
2) Leave at room temperature for a minimum of 6 hours or overnight.
3) Blend the lentils and rice with some of the water to create a grainy batter. It should be of a pouring consistency with a slightly rough texture. Empty the batter into a bowl and leave to ferment overnight at room temperature (not too cold).
"
Masala Gosht,Lamb Chop Curry,medium,Prep 15 mins,96424,3.3,112,6,['GLUTEN-FREE'], 1 hr,"1) 1 tbsp rapeseed oil
2) 800g-1kg lamb chops, trimmed
3) 2 large onions, peeled and roughly diced
4) 3cm piece ginger, grated
5) 6 cloves garlic, peeled
6) 1 tsp chilli powder
7) 1 tsp turmeric
8) 1 heaped tsp cumin seeds, crushed
9) 2 tsp coriander seeds, crushed
10) 2 tsp Kasoori methi
11) 1 tsp salt (or to taste)
12) 200g plum tomatoes
13) 145ml Greek yoghurt, beaten
14) Large handful fresh coriander, chopped
15) 1 tsp garam masala
16) 2 green chillies, sliced
","1) Blitz the onions in a blender.
2) Heat the oil in a large pan and add the onions, cook on a high heat for about 5 minutes.
3) Reduce the heat and leave to cook until the onions start to brown. If they catch on the bottom of the pan, add a little water and continue to cook for about 20 minutes.
4) In a blender blitz the ginger, garlic and green chillies and add to the pan once the onions have browned. Stir and cook for a further 5-6 minutes until the garlic is cooked.
5) Place the chops into the pan and sear both sides before reducing the heat.
6) Blend the tomatoes with a stick blender until smooth and add to the pan
7) Crush the coriander and cumin seeds in a pestle and mortar and stir into the pan along with the turmeric, red chilli powder, Kasoori methi and salt.
8) Turn up the heat to bring everything up to a simmer, and then reduce the heat.
9) Place the lid on the pan and leave to simmer gently for 30 minutes.
10) Beat the Greek yoghurt and add a table spoon at a time, mixing in between each spoonful to ensure it is fully absorbed. Leave to cook for a further 20–30 minutes until the meat is tender.
11) Add a little hot water if you want more of a gravy, and then stir in the garam masala and top with fresh coriander to serve.
"
Melon Soup with a hint of Chilli,Spiced Melon Soup,none,Prep 10 mins,19117,4.3,4,4,['VEGETARIAN'],,"1) 1 melon
2) 2 green chillies very finely chopped
3) squeeze of lemon
4) salt to taste
5) pinch of cumin seeds, toasted and crushed
","1) Cut open a melon and remove the seeds and remove the flesh from the skin.
2) Place in a blender and blitz.
3) Pour through a sieve to remove all the fibers.
4) Add the chopped chilli to the sieved melon, mix and leave to infuse for and hour or so.
5) When you are ready to serve, add a little salt and a squeeze of lemon and stir then sieve again.
6) Pour into small bowls or little glasses to serve and top with some roasted cumin seeds.
"
Mint and Coriander Chutney,Pudina Thania Chutney,medium,,31700,3.9,16,6,['VEGETARIAN'],,"1) 30g fresh mint leaves
2) 30g fresh coriander leaves
3) 1 green chilli ( add more chillies if you want the chutney to be spicy)
4) ½ inch ginger, roughly chopped
5) salt to taste
","1) In a blender grind all the ingredients to a smooth paste using little water.
2) Store in an airtight container in the refrigerator until required.
"
Mint and Coriander Dip,Coriander and Mint Raita,mild,Prep 5 mins,43668,3.6,24,6,['VEGETARIAN'], 5 mins,"1) 50g of mint leaves
2) 50g of coriander leaves
3) 1 fresh chilli
4) ½ tsp salt
5) 3 tbsp Greek style yoghurt
6) ½ tsp garam masala
7) sprinkle of chilli powder
","1) Put the chilli, mint, coriander and salt into a blender and whizz together to make a smooth paste (you may need to add a dash of water too).
2) Place into to a bowl and stir in the yoghurt and garam masala.
3) Sprinkle over the chilli power and serve straight away.
"
Mint Chutney,Pudina Chutney,hot,Prep 5 mins,89265,4.0,35,4,['VEGETARIAN'], 5 mins,"1) Large bunch of fresh mint leaves
2) 1 onion cut into chunks
3) 1 tsp salt
4) 1 green chilli (add more for more heat)
5) 1 or 2 lemons
","1) Slice the lemon in half and slice off the rind, remove any pips and chop the flesh into quarters.
2) Remove the leaves from the mint, discarding the stalks and remove the chilli stems too.
3) Place the mint, lemon, salt, chillies and onion into a blender and blitz until you get a fine blended chutney.
"
Mint Lassi,Salted Mint Yoghurt drink,none,Prep 10 mins,34365,3.4,12,4,['VEGETARIAN'],,"1) 500ml Greek yoghurt
2) water
3) Handful fresh mint leaves
4) 1 tsp black salt
5) 1 tsp roasted cumin seeds
6) mint leaves to garnish
7) ice cubes
","1) Put the yoghurt, mint, a splash of water into a blender and blitz to make a smooth drink. add more water if required.
2) Roast the cumin seeds in a pan and grind to a powder in a pestle and mortar.
3) Add half the salt and the roasted cumin powder to the yoghurt mixture.
4) Blend again and check the seasoning and add a little more salt if required.
5) Put the ice cubes into the glasses and pour the lassi over them, top with a couple of mint leaves.
"
Mint Raita,Quick Mint Yoghurt Sauce,,Prep 5 mins,88641,3.4,156,4,['LOW-CALORIES'], 5 mins,"1) 100ml natural set yoghurt
2) Splash of milk
3) 1 tbsp mint sauce
4) 1 tsp garam masala
","1) Put the yoghurt into a bowl, add a splash of milk to create a runny consistency.
2) Stir in the mint sauce.
3) Stir in the garam masala.
4) Garnish with a sprig of mint and refrigerate until required.
"
Missi Roti,Unleavened Spiced Flat Bread,mild,Prep 30 mins,26515,4.1,26,4,['VEGETARIAN'], 5 mins,"1) 120g gram flour
2) 120g atta (whole wheat Flour)
3) 1 onion, finely chopped
4) 1 green chilli, finely chopped
5) 2 tbsp yoghurt
6) ¼ tsp carom Seeds (ajwain)
7) ¼ tsp turmeric
8) ½ tsp Kashmiri chilli powder
9) 1 tsp garam masala
10) ¼ tsp amchoor powder (dry mango powder)
11) 2 tbsp methi leaves (fenugreek leaves - fresh or dried)
12) 2 tbsp chopped coriander leaves
13) 2 tsp ghee or rapeseed oil
14) Salt to taste
15) water or milk (if required)
","1) Add everything into mixing bowl apart from the milk or water - gram flour, whole-wheat flour, finely chopped onion, chopped green chilli, carom seeds, yoghurt, dry mango powder, turmeric, red chilli powder, garam masala, 2 tsp ghee or oil and salt.
2) Mix all ingredients with your hand then add water or milk a little at a time if needed. Knead the dough to a smooth and soft mixture. Cover it with a tea towel and set to one side for 10 minutes. The dough will be a little more sticky compared to just a flour dough.
3) Grease the dough with a little oil and knead it again.
4) Put a little oil on your hands and divide it into 8 equal portions. Roll them into balls and set to one side.
5) Heat a tava, griddle or frying pan over medium heat.
6) Ensure you have some flour on a plate for dusting then take one ball and flatten it out in the dusting flour on both side.
7) Using a rolling pin, start to roll out the dough into a thick round roti (approx 5-6 inch diameter). You don't want these to be too thin.
8) Once the tava has warmed up place one roti and let it begin to cook. Tiny bubbles will starts to rise on top surface. Flip it and reduce flame to low.
9) Spread a little ghee on the surface using a spoon and continue to cook for about a minute.
10) Flip it over and increase the heat, spread a little more ghee on this side and cook for about 30 seconds.
11) Flip again and cook until it's golden and brown spots appear evenly on both the sides. You may need to flip it a couple more times.
12) Place the cooked roti on a plate lined with kitchen roll. Repeat with the remaining balls of dough and serve immediately.
"
Monkfish Curry,35 mins,mild,Prep 5 mins,66007,3.1,125,4,['CONTAINS-COCONUT'], 30 mins,"1) 800g of monkfish fillet, cut into cubes
2) 4 tomatoes, roughly chopped
3) 200ml of hot water
4) 1 tbsp coconut oil
5) ½ tsp of black or brown mustard seeds
6) ½ tsp of fenugreek seeds
7) 10 fresh curry leaves or 15 dried
8) 1 inch piece ginger, cut into julienne
9) 1 onion, finely sliced
10) 3-4 green chillies, sliced
11) ½ tsp turmeric
12) 1 tsp cumin seeds
13) 3 tsp of coriander seeds
14) 1 tsp of Kashmiri chilli powder
15) 100ml of coconut milk
16) 1 tsp salt
17) 1 lime
","1) Wash the monkfish cubes and leave to drain.
2) In a blender, pulse the tomatoes into a purée with 200ml of water and set aside.
3) Slice the ginger, chillies and onions.
4) Heat 1 tbsp of coconut oil over a medium heat, then add in the mustard seeds.
5) Once they are crackling, stir in the fenugreek seeds followed by the curry leaves.
6) Dont let the fenugreek seeds colour then add the ginger, sliced onions and chillies. Stir and leave to cook until the onions are golden brown (10 minutes).
7) Stir in the puréed tomatoes and increase the heat.
8) Crush the cumin and coriander seeds in a pestle and mortar and add to the sauce with the turmeric and chilli powder.
9) Partially cover the pan and turn up the heat so that it starts to boil, leave the tomatoes to reduce and thicken for about 10-20 minutes.
10) Turn down the heat and pour in the coconut milk and salt to taste. Bring the curry back to the boil and reduce to a simmer.
11) Place in the pieces of fish and allow it to cook for about 2-3 minutes until the fish is just cooked through, then remove from the heat.
12) Squeeze in the juice of lime and check the seasoning. Serve immediately with some plain Basmati rice.
"
Moong Masoor di Dhal,Red lentil and split mung lentil dhal,medium,Prep 10 mins,75376,4.1,30,6,['VEGETARIAN'], 20 mins,"1) 100g of split red lentils washed
2) 100g split mung beans washed
3) 900ml water 1 tsp salt
","1) Place the red lentils in a pan with the salt, cover with the water and bring to the boil.
2) Remove the froth and add the split mung beans.
3) Reduce the heat and put the lid on the pan - leave to simmer for 15 minutes.
4) Check the lentils are cooked by squeezing them between your fingers. Once soft remove from the heat.
5) In a frying pan heat the oil or butter.
6) Using a fork pierce the red chillis and add to the pan with a bay leaf and the cumin seeds. When the seeds sizzle, remove the chilli and set to one side for your garnish.
7) Add the onion and garlic and fry until lightly browned.
8) Reduce the heat and add the tomatoes, ginger, turmeric, and the chopped chilli. Gently let the ingredients cook down to make a thick dry paste (10 mins).
9) Add a ladle full of the cooked lentils (dhal) to the masala paste in the frying pan and stir together, then empty all the contents back into the pan with the lentils and stir.
10) It should have the consistency of a thick soup but if it's too thick just add a little boiling water and remove from the heat.
11) Stir in the garam masala, coriander and top with the whole chillis to serve.
"
Morel Mushroom Pilau,Kashmiri Gucchi Pilau,none,Prep 5 mins,35005,3.8,18,6,['VEGETARIAN'], 20 mins,"1) 300g white basmati rice
2) ¼ tsp saffron strands
3) 1 tsp screw pine water (or 1 tbsp rosewater, or jasmine flower water)
4) 150g fresh morel mushrooms
5) 75g ghee or 3-4 tbsp rapeseed oil
6) ½ onion, sliced
7) 3cm ginger, sliced into thin strands
8) 4 black cardamoms, lightly crushed
9) 6 green cardamoms, lightly crushed
10) 10cm piece cassia bark, broken
11) 6 cloves
12) 3 dried bay leaves
13) 75g almond slivers
14) 1 tsp salt
15) ¾ litres cold water
16) 1 tsp garam masala
17) fresh coriander leaves, chopped
","1) Wash the rice in several changes of cold water until the water runs clear and set to one side.
2) Soak the saffron strands in the screwpine water or flaower water and leave for later.
3) Rinse the mushrooms and cut them in half lengthways.
4) Heat the ghee or oil in a wide heavy-bottomed saucepan and add the whole spices with the bay leaves. Stir for a few minutes until you can smell the fragrance from the spices.
5) Stir in the sliced onions and cook for about 5 minutes before adding the ginger.
6) Next add the prepared mushrooms and almonds, and sauté for a couple of minutes until the nuts begin to brown.
7) Add the washed rice to the mushroom mixture and sauté for a few minutes until the grains of rice become shiny.
8) Pour in the saffron mixture and salt. Add the cold water and bring the rice to the boil.
9) Reduce the heat to the lowest setting and cover with a lid. Let the rice cook undisturbed for 15 minutes.
10) Check to see whether the rice is cooked by pressing a couple of grains between your fingers. Remove from heat and set aside.
11) Sprinkle the rice with garam masala and coriander leaves just before serving.
"
Mushy Pea Curry,Muttar Masala,medium,Prep 10 mins,75443,3.5,79,4,['VEGETARIAN'], 20 mins,"1) 300g fresh tomatoes, roughly chopped
2) 1 small onion, roughly chopped
3) 150g fresh coconut
4) 5 cloves of garlic
5) 2 cm ginger, roughly chopped
6) 3 fresh green chillies (amend to personal taste)
7) 2 tbsp oil
8) 1 tsp cumin seeds
9) ½ tsp turmeric
10) ½ tsp red chilli powder
11) 400g tin marrow fat peas or frozen peas
12) Salt to taste
13) 1 tsp coriander, chopped
","1) To make the masala, blend the tomatoes, onion, coconut, garlic, green chillies and ginger to a paste with 200ml of water.
2) Heat oil in a pan and add the cumin seeds until fragrant.
3) Pour the blended mixture into the pan and cook for about 10 minutes.
4) Add in the turmeric and chilli powder and stir. Leave this to cook so it thickens and the starts to make a masala.
5) Stir in the green peas with about 50ml of water and stir.
6) Continue to cook until the peas are soft and cooked through. Taste and adjust the season if required.
7) Sprinkle with some fresh coriander to serve with some rice.
"
Paapri Chaat,Chickpea chaat,medium,Prep 40 mins,39856,4.1,35,6,['VEGETARIAN'], 15 mins,"1) 200g plain flour
2) 40g oil
3) salt, to taste
4) 1 tbsp ajwain seeds
5) Vegetable oil for frying
","1) Add the flour to a bowl and mix in the salt and ajwain.
2) Add the oil and start to knead to form a dough.
3) Make small balls with the dough slightly bigger than the size of a gooseberry.
4) Roll them out so they are about 4-5 cm in diameter.
5) Place a large, deep pan or a wok on a gentle heat and pour in the vegetable oil and allow it to get hot.
6) To test if it's hot enough, drop a tiny piece of dough into the pan – if it floats to the surface and starts to sizzle, it's ready.
7) Very gently slide in one circle of dough and fry for 2 to 3 minutes. Then using your spoon to push them under the oil, then carefully flip them over and continue cooking for 1 minute, until it's golden and crisp. Transfer to a kitchen paper to drain, and repeat with the remaining dough.
"
Papad,Poppadoms,mild,Prep 1 hr 30 mins,37082,3.3,29,4,['VEGETARIAN'], 5 mins,"1) 4oz Urid flour
2) 2oz rice flour
3) ½ tsp turmeric powder
4) ½ tps pink rock salt
5) 2 tsp coconut oil
6) 40ml water
","1) Put the flours, turmeric and rock salt into a bowl and mix. (You can also add spices at this stage cumin, ground black pepper, ajwain, garlic powder, chilli flakes are all good.)
2) Add the coconut oil and add the water a little at a time and stir to make a stiff dough. Knead until it's smooth.
3) Wrap the dough in cling film and let it sit for an hour.
4) Split the dough into 6 equal sized balls and roll out to 1mm thickness. You will need to use flour to dust your surface.
5) Place the rolled out poppadoms on some kitchen roll to dry for 20 minutes. You can also leave them in the sun to dehydrate and store them in an airtight container at this stage.
6) Heat oil in a wok drop in a little of the dough if it sinks and rises then the oil is ready.
7) Gentle place one poppadom into the oil and push under the oil until it bubbles and turns golden. Remove and set on some kitchen roll. Repeat with the remaining popadoms.
"
